[2024-10-02T22:21:48.282+0300] {triggerer_job_runner.py:181} INFO - Setting up TriggererHandlerWrapper with handler <FileTaskHandler (NOTSET)>
[2024-10-02T22:21:48.284+0300] {triggerer_job_runner.py:237} INFO - Setting up logging queue listener with handlers [<RedirectStdHandler <stdout> (NOTSET)>, <NonCachingFileHandler /home/hamsterhom220/MLOps/Assign1/services/airflow/logs/triggerer.log (NOTSET)>, <TriggererHandlerWrapper (NOTSET)>]
[2024-10-02T22:21:48.294+0300] {triggerer_job_runner.py:338} INFO - Starting the triggerer
[2024-10-03T00:57:57.084+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:58:57.155+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:59:57.222+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:00:57.281+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:01:57.350+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:02:30.824+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 0.33 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
[2024-10-03T01:02:57.421+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:03:57.479+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:04:57.521+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:05:57.568+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:06:57.618+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:07:57.665+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:08:57.713+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:09:57.765+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:10:57.832+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:11:57.895+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:12:57.964+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:13:58.029+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T01:14:58.092+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
